instance,cost,time,optimal,preprocessing_time
adam,12,704.51,False,89.43
alex,13,265.69,False,7.79
alice,,,False,423.81
andy,6,299.56,False,147.59
ben_alan,,,False,
chris,7,1.77,True,1.51
cynthia_michael,,,False,
david,7,914.3299999999999,False,433.77
freya,13,134.64000000000001,False,72.4
helen,11,1459.2,False,49.45
jack_jill,,,False,
jessica_amelia,,,False,
julian,,,False,36.59
kate,,,False,82.88
kevin,11,75.33,False,17.56
lauren,11,58.91,True,51.44
louise,13,224.45,False,64.81
lucy,8,4.58,True,3.39
lydia,7,11.78,True,11.59
mary,10,5.55,True,4.47
paul,26,1608.5800000000002,False,151.9
priscilla,15,87.03999999999999,True,46.8
rebecca,6,7.48,True,5.83
rob_james_matthew,,,False,
sally,13,1599.93,False,62.79
sarah,8,1640.8899999999999,False,74.81
tanya,5,53.82,True,47.69
william,15,62.989999999999995,True,3.62
willow,,,False,36.39
zoe_richard,,,False,
a_b,,,False,
claire,10,198.5,True,39.59
hard_harder_hardest,,,False,
kate_garry_craig,,,False,
one_two_three,,,False,
unnamed,,,False,
unused_1,6,179.25,True,71.04
unused_2,10,526.67,False,88.54
zoe_2_richard_2,,,False,
